scheme,impl,np,nx,ny,steps,dt,dx,dy,g,time_s,t_seq_s,speedup,efficiency,hmin,hmax,no_output
lf,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.083224,0.083224,1,1,1.000000e+00,1.004972e+00,1
lf,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.048911,0.083224,1.70153953098485,1.70153953098485,1.000000e+00,1.004972e+00,1
lf,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.044707,0.083224,1.861542935110833,0.9307714675554165,1.000000e+00,1.004972e+00,1
lf,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.028274,0.083224,2.943481643913136,0.735870410978284,1.000000e+00,1.004972e+00,1
lw,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.114835,0.114835,1,1,8.933616e-01,1.659461e+00,1
lw,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.108348,0.114835,1.0598718942666223,1.0598718942666223,8.933616e-01,1.659461e+00,1
lw,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.070383,0.114835,1.6315729650625863,0.8157864825312932,8.933616e-01,1.659461e+00,1
lw,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.060077,0.114835,1.9114636216855037,0.4778659054213759,8.933616e-01,1.659461e+00,1
mc,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.086207,0.086207,1,1,5.249046e-01,1.256854e+00,1
mc,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.085496,0.086207,1.0083161785346684,1.0083161785346684,5.249046e-01,1.256854e+00,1
mc,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.062055,0.086207,1.389203126258964,0.694601563129482,5.249046e-01,1.256854e+00,1
mc,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.036324,0.086207,2.373279374518225,0.5933198436295563,5.249046e-01,1.256854e+00,1
